PSP;NL
Globally, it is always the case that coolant_level >= 97 holds.;coolant level is EQUAL or GREATER THAN 97 C.
Globally, it is never the case that light_sources_number <= 1 holds.;number of light sources MUST NOT be EQUAL or LESS THAN 1.
Globally, it is always the case that if low_fuel_alert and radio_volume > 14 holds, then send_washer_fluid_level_alert eventually holds.;IF low fuel alert is on AND radio volume is GREATER THAN 14 dB THEN send washer fluid level alert.
After fog_density = 82, it is always the case that engine_efficiency >= 89 holds.;IF fog density is EQUAL to 82 % THEN engine efficiency MUST be EQUAL or GREATER THAN 89 %.
Globally, it is always the case that if inter_light_sources_distance = 0.6 and required_field_vision > 46 holds, then stay_in_lane and object_detection holds as well.;IF distance between light sources is EQUAL to 0.6 m AND required field of vision is GREATER THAN 46 m THEN activate stay in lane algorithm AND object is detected.
After video_number < 5, it is always the case that if automatic_luminance_contrast_adjustment holds, then parking_camera eventually holds.;IF number of videos displayed is LESS THAN 5 AND automatic luminance contrast adjustment THEN parking camera is activated.
Globally, it is always the case that if camera_number = 3 holds, then horizontal_vision = 20 holds as well.;IF camera number is EQUAL to 3 THEN horizontal vision EQUAL to 20 m.
Globally, it is never the case that distance_center_lane >= 0 holds.;distance from center lane MUST NOT be EQUAL or GREATER THAN 0 m.
Globally, it is always the case that if fog_density = 58 and diffuse_light holds, then minimum_distance = 8 and monitor_luminance_ratio <= 188 eventually holds.;IF fog density is EQUAL to 58 % AND diffuse light THEN minimum distance from vehicle in front EQUAL to 8 m AND monitor luminance ratio MUST be EQUAL or LESS THAN 188.
Globally, it is always the case that if on_right_lane holds, then ABS_activation eventually holds.;IF the vehicle is in the right lane THEN ABS is activated.
Globally, it is never the case that max_speed_limit > radio_volume holds.;maximum speed limit MUST NOT be GREATER THAN radio volume.
Globally, it is always the case that if low_gps_signal holds, then send_distraction_alert holds as well.;IF GPS signal is low THEN send distraction alert.
Globally, it is always the case that if approaching_vehicle_velocity < 9 holds, then monitor_background_luminance <= 0.7 and zoom_out eventually holds.;IF velocity of approaching vehicle is LESS THAN 9 km/h THEN monitor background luminance MUST be EQUAL or LESS THAN 0.7 cd/m2 AND zoom out the camera.
After sunset_light_state, it is always the case that if road_curvature < 61 holds, then zoom_out eventually holds.;IF sunset light condition AND road curvature is LESS THAN 61 degrees THEN zoom out the camera.
After night_light_state, it is always the case that if light_sources_number >= 3 holds, then send_airbag_conditions_alert holds as well.;IF night light condition AND number of light sources is EQUAL or GREATER THAN 3 THEN send airbag conditions alert.
After coolant_level_alert, it is always the case that if battery_charge_alert holds, then full_beam eventually holds.;IF coolant level alert is on AND battery charge alert is on THEN activate full beam lights.
After night_light_state, it is always the case that send_collision_alert and stay_in_lane holds.;IF night light condition THEN send collision alert AND activate stay in lane algorithm.
Globally, it is always the case that if battery_charge_alert holds, then zoom_level = 3 holds as well.;IF battery charge alert is on THEN camera zoom level EQUAL to 3 x.
Globally, it is always the case that traffic_density <= min_speed_limit holds.;traffic density is EQUAL or LESS THAN minimum speed limit.
Globally, it is always the case that radio_volume > 14 holds.;radio volume is GREATER THAN 14 dB.
Globally, it is always the case that if direct_sunlight_state holds, then steering_adjustment and send_speeding_alert holds as well.;IF state of direct sunlight THEN steering adjustment AND send speeding alert.
After vertical_vision <= 8, it is always the case that if diffuse_light holds, then max_acceleration < 4 eventually holds.;IF vertical vision is EQUAL or LESS THAN 8 m AND diffuse light THEN maximum possible acceleration CAN be LESS THAN 4 m/s2.
Globally, it is always the case that brake_fluid_level = 99 holds.;brake fluid level is EQUAL to 99 %.
Globally, it is always the case that battery_charge >= 63 holds.;battery charge is EQUAL or GREATER THAN 63 %.
Globally, it is always the case that if washer_fluid_level > 90 holds, then night_light_state holds as well.;IF washer fluid level is GREATER THAN 90 % THEN night light condition.
Globally, it is always the case that if light_sources_number <= 2 and wind_speed > 34 holds, then send_distraction_alert holds as well.;IF number of light sources is EQUAL or LESS THAN 2 AND wind speed is GREATER THAN 34 km/h THEN send distraction alert.
After send_seatbelt_alert, it is always the case that if class >= 1 holds, then wiper holds as well.;IF send seatbelt alert AND class is EQUAL or GREATER THAN 1 THEN activate wiper.
Globally, it is always the case that if reversing holds, then defrosting and send_distraction_alert holds as well.;IF the vehicle is reversing THEN defrosting AND send distraction alert.
Globally, it is always the case that if road_slope >= 19 holds, then night_light_state holds as well.;IF road slope is EQUAL or GREATER THAN 19 degrees THEN night light condition.
Globally, it is always the case that if driver_side holds, then emergency_brake and door_locking holds as well.;IF the driver side is occupied THEN activate emergency brake AND lock the doors.
Globally, it is never the case that inter_light_sources_distance >= 1.7 holds.;distance between light sources MUST NOT be EQUAL or GREATER THAN 1.7 m.
After passenger_side, it is always the case that if vertical_vision_distance = 57 holds, then send_brake_conditions_alert eventually holds.;IF the passenger side is occupied AND vertical vision distance behind driver is EQUAL to 57 m THEN send brake conditions alert.
After accelerating and inter_light_sources_distance > 0.9, it is always the case that send_tire_rotation_alert holds.;IF the vehicle is accelerating AND distance between light sources is GREATER THAN 0.9 m THEN send tire rotation alert.
After airbag_conditions_alert, it is always the case that if wind_speed >= 64 holds, then send_alert eventually holds.;IF airbag conditions alert is on AND wind speed is EQUAL or GREATER THAN 64 km/h THEN send generic alert.
Globally, it is never the case that auto_accelerate_sensitivity < radio_volume holds.;auto accelerate sensitivity MUST NOT be LESS THAN radio volume.
Globally, it is always the case that coolant_level > monitor_luminance_ratio holds.;coolant level is GREATER THAN monitor luminance ratio.
After blind_spot, it is always the case that if gear < 5 holds, then vertical_vision <= 3 holds as well.;IF object on blind spot AND gear number is LESS THAN 5 gear THEN vertical vision MUST be EQUAL or LESS THAN 3 m.
After seatbelt_alert and road_slope >= 29, it is always the case that send_distraction_alert and minimum_distance <= 19 holds.;IF seatbelt alert is on AND road slope is EQUAL or GREATER THAN 29 degrees THEN send distraction alert AND minimum distance from vehicle in front MUST be EQUAL or LESS THAN 19 m.
Globally, it is always the case that if class >= 3 and climate_control_setting < 26 holds, then send_camera_obstruction_alert and cruise_control_speed <= 49 eventually holds.;IF class is EQUAL or GREATER THAN 3 AND climate control setting is LESS THAN 26 C THEN send camera obstruction alert AND cruise control speed MUST be EQUAL or LESS THAN 49 km/h.
Globally, it is always the case that if tire_pressure_alert and length_driven > 87661 holds, then send_speeding_alert holds as well.;IF tire pressure alert is on AND total length driven by the vehicle is GREATER THAN 87661 km THEN send speeding alert.
Globally, it is always the case that vertical_longitudinal_median_plane > 27 holds.;vertical longitudinal median plane is GREATER THAN 27 m.
Globally, it is always the case that light_sources_distance <= 361 holds.;distance of light sources is EQUAL or LESS THAN 361 m.
Globally, it is always the case that min_speed_limit <= 12 holds.;minimum speed limit is EQUAL or LESS THAN 12 km/h.
After display_area < 83 and behind_passengers_seatbelt, it is always the case that monitor_luminance_ratio > 192 and send_collision_alert holds.;IF display area is LESS THAN 83 m AND the passengers behind are wearing seatbelts THEN monitor luminance ratio CAN be GREATER THAN 192 AND send collision alert.
Globally, it is always the case that if length_driven > 58422 holds, then vertical_vision < 7 and eco_mode eventually holds.;IF total length driven by the vehicle is GREATER THAN 58422 km THEN vertical vision CAN be LESS THAN 7 m AND activate eco mode.
Globally, it is always the case that display_area <= 62 holds.;display area is EQUAL or LESS THAN 62 m.
Globally, it is always the case that if low_gps_signal holds, then send_alert eventually holds.;IF GPS signal is low THEN send generic alert.
Globally, it is always the case that if distance_center_lane < 2 and inter_light_sources_distance >= 1.9 holds, then eco_mode and antifog_lights eventually holds.;IF distance from center lane is LESS THAN 2 m AND distance between light sources is EQUAL or GREATER THAN 1.9 m THEN activate eco mode AND activate antifog lights.
Globally, it is always the case that if braking holds, then send_brake_conditions_alert eventually holds.;IF the vehicle is braking THEN send brake conditions alert.
Globally, it is never the case that cruise_control_speed <= 39 holds.;cruise control speed MUST NOT be EQUAL or LESS THAN 39 km/h.
Globally, it is always the case that if park_assist holds, then call_emergency holds as well.;IF park assist is activated THEN call emergency services.
Globally, it is never the case that temperature <= 16 holds.;temperature MUST NOT be EQUAL or LESS THAN 16 °C.
After accelerating, it is always the case that if length_driven > 70269 holds, then auto_dimming holds as well.;IF the vehicle is accelerating AND total length driven by the vehicle is GREATER THAN 70269 km THEN activate auto dimming.
After parking_camera, it is always the case that if tire_rotation_alert holds, then signal_lamp_event holds as well.;IF parking camera is activated AND tire rotation alert is on THEN signal-lamp.
After horizontal_vision >= 14, it is always the case that if low_gps_signal holds, then send_camera_obstruction_alert holds as well.;IF horizontal vision is EQUAL or GREATER THAN 14 m AND GPS signal is low THEN send camera obstruction alert.
Globally, it is always the case that if light_sources_number >= 2 holds, then HDR eventually holds.;IF number of light sources is EQUAL or GREATER THAN 2 THEN enable HDR.
After approaching_vehicle_velocity >= 9, it is always the case that warning_emergency holds.;IF velocity of approaching vehicle is EQUAL or GREATER THAN 9 km/h THEN send warning emergency vehicle.
Globally, it is always the case that if fuel_level = 17 holds, then send_speeding_alert eventually holds.;IF fuel level is EQUAL to 17 % THEN send speeding alert.
Globally, it is always the case that if gear >= 3 and turning holds, then HDR and send_distraction_alert holds as well.;IF gear number is EQUAL or GREATER THAN 3 gear AND vehicle is turning THEN enable HDR AND send distraction alert.
After stay_in_lane, it is always the case that if video_number >= 1 holds, then auto_dimming holds as well.;IF activate stay in lane algorithm AND number of videos displayed is EQUAL or GREATER THAN 1 THEN activate auto dimming.
After engine_temperature < 11, it is always the case that cruise_control_speed > 80 holds.;IF engine temperature is LESS THAN 11 C THEN cruise control speed CAN be GREATER THAN 80 km/h.
After required_maintenance, it is always the case that if camera_obstruction holds, then camera_defrost_system holds as well.;IF the vehicle requires maintenance AND camera is obstructed THEN camera defrost system.
After defrosting, it is always the case that if class > 3 holds, then horizontal_vision = 2 eventually holds.;IF defrosting AND class is GREATER THAN 3 THEN horizontal vision EQUAL to 2 m.
After blind_spot, it is always the case that if blind_spot holds, then antifog_lights eventually holds.;IF object on blind spot AND object on blind spot THEN activate antifog lights.
After tire_pressure < 4, it is always the case that if approaching_vehicle_in_blind_spot holds, then airbag_deploy holds as well.;IF tire pressure is LESS THAN 4 psi AND approaching vehicle in blind spot THEN activate airbag deployment.
After horizontal_vision > 8, it is always the case that if passenger_seatbelt holds, then vertical_vision_distance = 32 holds as well.;IF horizontal vision is GREATER THAN 8 m AND the passenger is wearing the seatbelt THEN vertical vision distance behind driver EQUAL to 32 m.
Globally, it is always the case that if monitor_background_luminance < 0.2 and need_revision holds, then acceleration_adjustment eventually holds.;IF monitor background luminance is LESS THAN 0.2 cd/m2 AND vehicle revision is needed THEN acceleration adjustment.
After washer_fluid_level_alert, it is always the case that if fog_density < 73 holds, then engine_efficiency > 10 holds as well.;IF washer fluid level alert is on AND fog density is LESS THAN 73 % THEN engine efficiency CAN be GREATER THAN 10 %.
After NN_clean_processing and older_driver, it is always the case that night_light_state holds.;IF enable digital clean image processing algorithm AND older driver THEN night light condition.
Globally, it is always the case that if old_road holds, then send_collision_alert and send_washer_fluid_level_alert holds as well.;IF old road THEN send collision alert AND send washer fluid level alert.
After turning, it is always the case that if battery_charge_alert holds, then airbag_deploy eventually holds.;IF vehicle is turning AND battery charge alert is on THEN activate airbag deployment.
Globally, it is always the case that if light_sources_intensity > 1842 holds, then MIN_MF >= 0.5 and air_conditioning holds as well.;IF intensity of light sources is GREATER THAN 1842 cd THEN minimum magnification factor MUST be EQUAL or GREATER THAN 0.5 AND activate air conditioning.
Globally, it is always the case that if collision_alert and horizontal_vision = 17 holds, then emergency_record and send_speeding_alert holds as well.;IF collision alert is on AND horizontal vision is EQUAL to 17 m THEN record an emergency video AND send speeding alert.
Globally, it is never the case that cruise_control_speed < 95 holds.;cruise control speed MUST NOT be LESS THAN 95 km/h.
Globally, it is always the case that horizontal_vision > 6 holds.;horizontal vision is GREATER THAN 6 m.
Globally, it is never the case that road_curvature <= 12 holds.;road curvature MUST NOT be EQUAL or LESS THAN 12 degrees.
Globally, it is always the case that if vertical_vision_distance < 50 and tire_pressure >= 41 holds, then stay_in_lane and cruise_control_speed <= 90 eventually holds.;IF vertical vision distance behind driver is LESS THAN 50 m AND tire pressure is EQUAL or GREATER THAN 41 psi THEN activate stay in lane algorithm AND cruise control speed MUST be EQUAL or LESS THAN 90 km/h.
Globally, it is always the case that if video_number < 5 and getting_overtaken holds, then horn and send_tire_rotation_alert holds as well.;IF number of videos displayed is LESS THAN 5 AND the vehicle is getting overtaken THEN activate horn AND send tire rotation alert.
After min_speed_limit >= 0, it is always the case that send_camera_obstruction_alert and send_brake_conditions_alert holds.;IF minimum speed limit is EQUAL or GREATER THAN 0 km/h THEN send camera obstruction alert AND send brake conditions alert.
Globally, it is always the case that if cruise_control_speed < 16 holds, then steering_adjustment and required_maintenance eventually holds.;IF cruise control speed is LESS THAN 16 km/h THEN steering adjustment AND the vehicle requires maintenance.
After battery_charge_alert, it is always the case that air_conditioning and NN_clean_image_result <= 0 holds.;IF battery charge alert is on THEN activate air conditioning AND clean process algorithm result MUST be EQUAL or LESS THAN 0.
After send_sleeping_alert, it is always the case that if behind_passengers <= 2 holds, then stay_in_lane holds as well.;IF send sleeping alert AND the number of passengers seat behind is EQUAL or LESS THAN 2 people THEN activate stay in lane algorithm.
After engine_overheat_alert, it is always the case that if wind_speed > 9 holds, then AVG_MF > 0.2 eventually holds.;IF engine overheat alert is on AND wind speed is GREATER THAN 9 km/h THEN average magnification factor CAN be GREATER THAN 0.2.
Globally, it is never the case that washer_fluid_level <= 58 holds.;washer fluid level MUST NOT be EQUAL or LESS THAN 58 %.
Globally, it is always the case that engine_rpm > 4400 holds.;engine RPM is GREATER THAN 4400 rpm.
Globally, it is always the case that tire_pressure >= 20 holds.;tire pressure is EQUAL or GREATER THAN 20 psi.
Globally, it is always the case that if auto_accelerate and NN_clean_image_result = 0 holds, then send_distraction_alert holds as well.;IF auto accelerate is activated AND clean process algorithm result is EQUAL to 0 THEN send distraction alert.
After seatbelt_alert, it is always the case that if road_curvature < 49 holds, then wiper_speed < 3 holds as well.;IF seatbelt alert is on AND road curvature is LESS THAN 49 degrees THEN wiper speed CAN be LESS THAN 3 rpm.
After cruise_control_speed > 53, it is always the case that if engine_conditions_alert holds, then climate_control_setting = 18 holds as well.;IF cruise control speed is GREATER THAN 53 km/h AND engine conditions alert is on THEN climate control setting EQUAL to 18 C.
Globally, it is always the case that horizontal_vision >= 9 holds.;horizontal vision is EQUAL or GREATER THAN 9 m.
After wiper_speed <= 3, it is always the case that if inter_light_sources_distance >= 1.3 holds, then send_seatbelt_alert holds as well.;IF wiper speed is EQUAL or LESS THAN 3 rpm AND distance between light sources is EQUAL or GREATER THAN 1.3 m THEN send seatbelt alert.
Globally, it is always the case that if direct_sunlight_state holds, then send_coolant_level_alert holds as well.;IF state of direct sunlight THEN send coolant level alert.
After adjust_default_view and tire_rotation > 4, it is always the case that lock_acceleration and emergency_record holds.;IF adjust default view AND tire rotation is GREATER THAN 4 degrees THEN lock acceleration AND record an emergency video.
After passenger_side, it is always the case that if perceived_light_sources_number < 2 holds, then signal_lamp_event holds as well.;IF the passenger side is occupied AND number of perceived light sources is LESS THAN 2 THEN signal-lamp.
Globally, it is always the case that if seatbelt_alert and sleeping_alert holds, then send_sleeping_alert eventually holds.;IF seatbelt alert is on AND sleeping alert is on THEN send sleeping alert.
After antifog_lights, it is always the case that if max_speed_limit < 55 holds, then send_airbag_conditions_alert holds as well.;IF activate antifog lights AND maximum speed limit is LESS THAN 55 km/h THEN send airbag conditions alert.
After send_collision_alert, it is always the case that if tire_rotation < 27 holds, then emergency_record eventually holds.;IF send collision alert AND tire rotation is LESS THAN 27 degrees THEN record an emergency video.
Globally, it is never the case that vertical_vision_distance >= 42 holds.;vertical vision distance behind driver MUST NOT be EQUAL or GREATER THAN 42 m.
Globally, it is always the case that road_slope < 10 holds.;road slope is LESS THAN 10 degrees.
After camera_number >= 4, it is always the case that if need_revision holds, then camera_defrost_system eventually holds.;IF camera number is EQUAL or GREATER THAN 4 AND vehicle revision is needed THEN camera defrost system.
Globally, it is always the case that if soiling_camera holds, then MIN_MF >= 0.5 holds as well.;IF soiling on the cameras THEN minimum magnification factor MUST be EQUAL or GREATER THAN 0.5.
Globally, it is always the case that if coolant_level_alert and on_right_lane holds, then stay_in_lane holds as well.;IF coolant level alert is on AND the vehicle is in the right lane THEN activate stay in lane algorithm.
After blind_spot, it is always the case that if display_area >= 78 holds, then max_acceleration <= 3 holds as well.;IF object on blind spot AND display area is EQUAL or GREATER THAN 78 m THEN maximum possible acceleration MUST be EQUAL or LESS THAN 3 m/s2.
After vertical_longitudinal_median_plane > 90, it is always the case that stay_in_lane and send_engine_conditions_alert holds.;IF vertical longitudinal median plane is GREATER THAN 90 m THEN activate stay in lane algorithm AND send engine conditions alert.
Globally, it is never the case that luminance <= 0.7 holds.;luminance MUST NOT be EQUAL or LESS THAN 0.7 lx.
Globally, it is never the case that inter_light_sources_distance = 1.5 holds.;distance between light sources MUST NOT be EQUAL to 1.5 m.
After approaching_vehicle_distance = 40 and getting_overtaken, it is always the case that zoom_level < 7 holds.;IF distance of approaching vehicle is EQUAL to 40 m AND the vehicle is getting overtaken THEN camera zoom level CAN be LESS THAN 7 x.
After coolant_level_alert and engine_temperature < 27, it is always the case that horn holds.;IF coolant level alert is on AND engine temperature is LESS THAN 27 C THEN activate horn.
Globally, it is always the case that engine_rpm = 8000 holds.;engine RPM is EQUAL to 8000 rpm.
After minimum_distance < 11, it is always the case that if light_sources_distance >= 100 holds, then send_tire_pressure_alert holds as well.;IF minimum distance from vehicle in front is LESS THAN 11 m AND distance of light sources is EQUAL or GREATER THAN 100 m THEN send tire pressure alert.
After sunset_light_state, it is always the case that night_light_state and need_revision holds.;IF sunset light condition THEN night light condition AND vehicle revision is needed.
Globally, it is always the case that if turning holds, then need_revision and emergency_brake holds as well.;IF vehicle is turning THEN vehicle revision is needed AND activate emergency brake.
After automatic_luminance_contrast_adjustment and direct_sunlight_state, it is always the case that wiper holds.;IF automatic luminance contrast adjustment AND state of direct sunlight THEN activate wiper.
Globally, it is never the case that vertical_vision_distance <= 41 holds.;vertical vision distance behind driver MUST NOT be EQUAL or LESS THAN 41 m.
After passenger_seatbelt, it is always the case that if temperature <= 0 holds, then send_brake_conditions_alert eventually holds.;IF the passenger is wearing the seatbelt AND temperature is EQUAL or LESS THAN 0 °C THEN send brake conditions alert.
Globally, it is always the case that if length_driven > 41782 holds, then air_conditioning and NN_clean_image_result = 0 holds as well.;IF total length driven by the vehicle is GREATER THAN 41782 km THEN activate air conditioning AND clean process algorithm result EQUAL to 0.
After monitor_background_luminance <= 1.6, it is always the case that if traffic_flow_speed = 96 holds, then night_light_state holds as well.;IF monitor background luminance is EQUAL or LESS THAN 1.6 cd/m2 AND traffic flow speed is EQUAL to 96 km/h THEN night light condition.
After cruise_control_speed > 124, it is always the case that need_revision and vertical_vision_distance < 53 holds.;IF cruise control speed is GREATER THAN 124 km/h THEN vehicle revision is needed AND vertical vision distance behind driver CAN be LESS THAN 53 m.
After oil_level > 93 and camera_number > 2, it is always the case that parking_camera and send_sleeping_alert holds.;IF oil level is GREATER THAN 93 % AND camera number is GREATER THAN 2 THEN parking camera is activated AND send sleeping alert.
Globally, it is never the case that gps_signal = 6 holds.;GPS signal strength MUST NOT be EQUAL to 6 dBm.
After passenger_side and old_road, it is always the case that signal_lamp_event holds.;IF the passenger side is occupied AND old road THEN signal-lamp.
After air_conditioning, it is always the case that if driver_side holds, then blind_spot holds as well.;IF activate air conditioning AND the driver side is occupied THEN object on blind spot.
After road_slope = -5, it is always the case that if need_revision holds, then vertical_vision < 20 holds as well.;IF road slope is EQUAL to -5 degrees AND vehicle revision is needed THEN vertical vision CAN be LESS THAN 20 m.
After behind_passengers >= 2, it is always the case that if min_speed_limit >= 114 holds, then call_emergency holds as well.;IF the number of passengers seat behind is EQUAL or GREATER THAN 2 people AND minimum speed limit is EQUAL or GREATER THAN 114 km/h THEN call emergency services.
Globally, it is never the case that gps_signal = vertical_longitudinal_median_plane holds.;GPS signal strength MUST NOT be EQUAL to vertical longitudinal median plane.
After traffic_flow_speed >= 86, it is always the case that if airbag_conditions_alert holds, then minimum_distance <= 11 holds as well.;IF traffic flow speed is EQUAL or GREATER THAN 86 km/h AND airbag conditions alert is on THEN minimum distance from vehicle in front MUST be EQUAL or LESS THAN 11 m.
Globally, it is always the case that if getting_overtaken holds, then night_light_state and air_conditioning eventually holds.;IF the vehicle is getting overtaken THEN night light condition AND activate air conditioning.
After overtaking, it is always the case that horn holds.;IF the vehicle is overtaking THEN activate horn.
After automatic_luminance_contrast_adjustment, it is always the case that if unpaved_road holds, then door_locking holds as well.;IF automatic luminance contrast adjustment AND unpaved road THEN lock the doors.
After need_revision, it is always the case that if passenger_seatbelt holds, then climate_control_setting > 20 eventually holds.;IF vehicle revision is needed AND the passenger is wearing the seatbelt THEN climate control setting CAN be GREATER THAN 20 C.
Globally, it is never the case that radio_volume >= horizontal_vision holds.;radio volume MUST NOT be EQUAL or GREATER THAN horizontal vision.
After ABS_activation, it is always the case that if vertical_vision_distance >= 59 holds, then send_camera_obstruction_alert holds as well.;IF ABS is activated AND vertical vision distance behind driver is EQUAL or GREATER THAN 59 m THEN send camera obstruction alert.
Globally, it is always the case that if horizontal_vision > 2 and engine_overheat_alert holds, then auto_accelerate_sensitivity = 16 holds as well.;IF horizontal vision is GREATER THAN 2 m AND engine overheat alert is on THEN auto accelerate sensitivity EQUAL to 16 %.
Globally, it is always the case that if sunset_light_state holds, then lock_steering and MIN_MF <= 0.7 holds as well.;IF sunset light condition THEN lock steering AND minimum magnification factor MUST be EQUAL or LESS THAN 0.7.
Globally, it is always the case that max_acceleration = 1 holds.;maximum possible acceleration is EQUAL to 1 m/s2.
Globally, it is always the case that if approaching_vehicle_velocity < 16 holds, then wiper and cruise_control_speed < 109 holds as well.;IF velocity of approaching vehicle is LESS THAN 16 km/h THEN activate wiper AND cruise control speed CAN be LESS THAN 109 km/h.
Globally, it is always the case that if length_driven <= 65988 holds, then acceleration_adjustment and night_light_state holds as well.;IF total length driven by the vehicle is EQUAL or LESS THAN 65988 km THEN acceleration adjustment AND night light condition.
After airbag_conditions_alert, it is always the case that if length_driven >= 13096 holds, then max_acceleration >= 8 eventually holds.;IF airbag conditions alert is on AND total length driven by the vehicle is EQUAL or GREATER THAN 13096 km THEN maximum possible acceleration MUST be EQUAL or GREATER THAN 8 m/s2.
Globally, it is always the case that if camera_number >= 4 and horizontal_vision > 8 holds, then send_washer_fluid_level_alert eventually holds.;IF camera number is EQUAL or GREATER THAN 4 AND horizontal vision is GREATER THAN 8 m THEN send washer fluid level alert.
Globally, it is always the case that wiper_speed <= max_speed_limit holds.;wiper speed is EQUAL or LESS THAN maximum speed limit.
Globally, it is always the case that if battery_charge < 31 holds, then monitor_luminance_ratio <= 120 eventually holds.;IF battery charge is LESS THAN 31 % THEN monitor luminance ratio MUST be EQUAL or LESS THAN 120.
Globally, it is always the case that if road_curvature >= 52 and passenger_seatbelt holds, then defrosting holds as well.;IF road curvature is EQUAL or GREATER THAN 52 degrees AND the passenger is wearing the seatbelt THEN defrosting.
Globally, it is always the case that if washer_fluid_level_alert holds, then climate_control_setting >= 21 and send_alert holds as well.;IF washer fluid level alert is on THEN climate control setting MUST be EQUAL or GREATER THAN 21 C AND send generic alert.
Globally, it is always the case that gps_signal <= video_number holds.;GPS signal strength is EQUAL or LESS THAN number of videos displayed.
Globally, it is always the case that if coolant_level_alert and sleeping_alert holds, then send_distraction_alert and zoom_in eventually holds.;IF coolant level alert is on AND sleeping alert is on THEN send distraction alert AND zoom in the camera.
After send_coolant_level_alert, it is always the case that if automatic_luminance_contrast_adjustment holds, then cruise_control_speed > 20 holds as well.;IF send coolant level alert AND automatic luminance contrast adjustment THEN cruise control speed CAN be GREATER THAN 20 km/h.
Globally, it is always the case that if vertical_vision > 8 and video_number <= 5 holds, then parking_camera holds as well.;IF vertical vision is GREATER THAN 8 m AND number of videos displayed is EQUAL or LESS THAN 5 THEN parking camera is activated.
Globally, it is never the case that max_acceleration >= 3 holds.;maximum possible acceleration MUST NOT be EQUAL or GREATER THAN 3 m/s2.
After send_battery_charge_alert, it is always the case that if tire_pressure <= 26 holds, then cruise_control_speed > 15 holds as well.;IF send battery charge alert AND tire pressure is EQUAL or LESS THAN 26 psi THEN cruise control speed CAN be GREATER THAN 15 km/h.
After gear <= 4, it is always the case that if on_right_lane holds, then minimum_distance = 10 holds as well.;IF gear number is EQUAL or LESS THAN 4 gear AND the vehicle is in the right lane THEN minimum distance from vehicle in front EQUAL to 10 m.
After parking_camera, it is always the case that if behind_passengers_seatbelt holds, then signal_lamp_event eventually holds.;IF parking camera is activated AND the passengers behind are wearing seatbelts THEN signal-lamp.
After adjust_default_view, it is always the case that if camera_obstruction holds, then send_low_fuel_alert holds as well.;IF adjust default view AND camera is obstructed THEN send low fuel alert.
After full_beam, it is always the case that if climate_control_setting <= 30 holds, then max_acceleration > 0 eventually holds.;IF activate full beam lights AND climate control setting is EQUAL or LESS THAN 30 C THEN maximum possible acceleration CAN be GREATER THAN 0 m/s2.
After turning, it is always the case that if turning holds, then cruise_control_speed < 86 holds as well.;IF vehicle is turning AND vehicle is turning THEN cruise control speed CAN be LESS THAN 86 km/h.
Globally, it is always the case that if unpaved_road holds, then AVG_MF > 0.3 eventually holds.;IF unpaved road THEN average magnification factor CAN be GREATER THAN 0.3.
Globally, it is always the case that if wind_speed <= 68 and speeding_alert holds, then lock_acceleration and vertical_vision_distance > 46 holds as well.;IF wind speed is EQUAL or LESS THAN 68 km/h AND speeding alert is on THEN lock acceleration AND vertical vision distance behind driver CAN be GREATER THAN 46 m.
After traffic_flow_speed = 3, it is always the case that object_detection holds.;IF traffic flow speed is EQUAL to 3 km/h THEN object is detected.
After lock_acceleration, it is always the case that if light_sources_distance >= 168 holds, then steering_adjustment eventually holds.;IF lock acceleration AND distance of light sources is EQUAL or GREATER THAN 168 m THEN steering adjustment.
Globally, it is always the case that length_driven >= radio_volume holds.;total length driven by the vehicle is EQUAL or GREATER THAN radio volume.
After vertical_longitudinal_median_plane >= 135, it is always the case that if engine_rpm = 3100 holds, then night_light_state eventually holds.;IF vertical longitudinal median plane is EQUAL or GREATER THAN 135 m AND engine RPM is EQUAL to 3100 rpm THEN night light condition.
Globally, it is always the case that distance_center_lane > 0 holds.;distance from center lane is GREATER THAN 0 m.
After airbag_deploy, it is always the case that if reversing holds, then horn holds as well.;IF activate airbag deployment AND the vehicle is reversing THEN activate horn.
After distance_center_lane = 2 and coolant_level_alert, it is always the case that antifog_lights and emergency_brake holds.;IF distance from center lane is EQUAL to 2 m AND coolant level alert is on THEN activate antifog lights AND activate emergency brake.
Globally, it is never the case that video_number <= 4 holds.;number of videos displayed MUST NOT be EQUAL or LESS THAN 4.
Globally, it is never the case that light_sources_intensity = 1649 holds.;intensity of light sources MUST NOT be EQUAL to 1649 cd.
Globally, it is always the case that if tire_pressure_alert and cruise_control holds, then send_alert eventually holds.;IF tire pressure alert is on AND cruise control is activated THEN send generic alert.
After adjust_default_view, it is always the case that if braking holds, then vertical_vision_distance > 31 holds as well.;IF adjust default view AND the vehicle is braking THEN vertical vision distance behind driver CAN be GREATER THAN 31 m.
Globally, it is always the case that if collision_alert holds, then zoom_out holds as well.;IF collision alert is on THEN zoom out the camera.
Globally, it is always the case that if gps_signal >= 7 and class > 3 holds, then send_engine_conditions_alert and vertical_vision > 4 holds as well.;IF GPS signal strength is EQUAL or GREATER THAN 7 dBm AND class is GREATER THAN 3 THEN send engine conditions alert AND vertical vision CAN be GREATER THAN 4 m.
Globally, it is never the case that coolant_level > 95 holds.;coolant level MUST NOT be GREATER THAN 95 C.
